gouvernorat,delegation,prix,superficie,chambres,salle_de_bains,etat,etage
tunis,Les Berges Du Lac,620000.0,220,3.0,2.0,Nouveau,
tunis,Aouina,950000.0,65,1.0,1.0,Moins d'un an,4ème
tunis,El Menzah 7,1801110.0,120,4.0,1.0,Bon état,
tunis,El Manar,650000.0,100,3.0,1.0,À rénover,
tunis,Ain Zaghouan,1263000.0,202,4.0,3.0,Bon état,7ème
tunis,Gammarth,300000.0,150,2.0,2.0,Bon état,1er
tunis,Ariana Ville,1132057.359993393,273,4.0,5.0,Nouveau,
tunis,Ariana Ville,370000.0,147,2.0,2.0,Nouveau,
tunis,Ariana Ville,820000.0,190,3.0,3.0,Moins d'un an,3ème
tunis,Ariana Ville,112470.0,30,1.0,1.0,Moins d'un an,
tunis,Les Berges Du Lac,580000.0,271,3.0,3.0,Moins d'un an,
tunis,Ain Zaghouan,776238.5609496938,127,2.0,2.0,Nouveau,
tunis,Ariana Ville,950000.0,152,3.0,3.0,Moins d'un an,1er
tunis,Sidi Hassine,240000.0,69,1.0,1.0,Nouveau,
tunis,Ariana Ville,375000.0,155,,,,
tunis,El Menzah 7,330000.0,195,3.0,4.0,Nouveau,1er
tunis,Ariana Ville,728311.5738087904,30,2.0,,Nouveau,
tunis,Aouina,125000.0,64,1.0,1.0,1-5 ans,4ème
tunis,Aouina,230000000.0,156,3.0,2.0,5-10 ans,6ème
tunis,Ain Zaghouan,120000.0,87,1.0,1.0,Bon état,1er
tunis,Ariana Ville,928000.0,182,3.0,2.0,Nouveau,
tunis,El Ouardia,350000.0,30,1.0,1.0,1-5 ans,4ème
tunis,Les Berges Du Lac,408000.0,115,2.0,2.0,Nouveau,
tunis,El Ouardia,970000.0,87,2.0,1.0,Bon état,
tunis,Ariana Ville,318000.0,150,2.0,3.0,Moins d'un an,3ème
tunis,Ain Zaghouan,486000.0,74,1.0,1.0,Moins d'un an,
tunis,Aouina,900000.0,150,3.0,2.0,Nouveau,
tunis,Ariana Ville,645000.0,187,4.0,2.0,1-5 ans,
tunis,Ain Zaghouan,710000.0,146,3.0,1.0,10-20 ans,2ème
tunis,Ain Zaghouan,530787.143961139,131,2.0,2.0,Moins d'un an,1er
tunis,Gammarth,265000.0,115,1.0,,5-10 ans,
tunis,Ain Zaghouan,220000.0,158,4.0,2.0,Bon état,
tunis,Ain Zaghouan,400000.0,198,2.0,2.0,Moins d'un an,2ème
tunis,Ariana Ville,850000.0,121,2.0,2.0,Moins d'un an,
tunis,Bab El Khadra,1100877.676789585,120,3.0,2.0,Bon état,
tunis,Ariana Ville,290000.0,156,3.0,2.0,1-5 ans,2ème
tunis,Aouina,195860.0,127,2.0,2.0,Bon état,
tunis,Les Berges Du Lac,230000000.0,180,3.0,3.0,Bon état,
tunis,Gammarth,570000.0,242,3.0,2.0,Moins d'un an,
tunis,Ariana Ville,980000.0,85,1.0,1.0,Nouveau,
tunis,Sidi Hassine,573224.8953924763,121,3.0,1.0,Moins d'un an,
tunis,Ariana Ville,969351.2256132371,115,2.0,2.0,Nouveau,
tunis,Ariana Ville,325000.0,264,,,,
tunis,Ariana Ville,309000.0,288,5.0,3.0,Bon état,
tunis,Gammarth,820000.0,147,2.0,1.0,Nouveau,
tunis,Ariana Ville,361922.1297868244,243,4.0,3.0,Moins d'un an,3ème
tunis,Les Berges Du Lac,450000.0,80,2.0,1.0,Bon état,
tunis,Ariana Ville,579780.912755261,51,1.0,1.0,Nouveau,
tunis,Ariana Ville,456862.472251686,247,4.0,3.0,Bon état,
tunis,Ariana Ville,970000.0,94,2.0,2.0,Moins d'un an,
tunis,Ariana Ville,440000.0,134,3.0,2.0,Bon état,
tunis,El Menzah 7,370000.0,140,2.0,2.0,Moins d'un an,2ème
tunis,Ain Zaghouan,514000.0,129,2.0,1.0,Moins d'un an,
tunis,Ain Zaghouan,350400.281166899,291,3.0,3.0,Moins d'un an,
tunis,Ariana Ville,1055441.1453132404,70,1.0,1.0,Nouveau,
tunis,Aouina,295896.0,148,3.0,2.0,Bon état,
tunis,Ain Zaghouan,270000.0,161,3.0,3.0,Moins d'un an,4ème
tunis,Ariana Ville,500000.0,92,2.0,1.0,Moins d'un an,
tunis,Gammarth,765041.3318681124,242,3.0,2.0,Moins d'un an,6ème
tunis,Ariana Ville,580000.0,51,2.0,1.0,Moins d'un an,2ème
tunis,Ariana Ville,304341.50848273345,81,2.0,1.0,Moins d'un an,
tunis,Les Berges Du Lac,748000.0,137,2.0,2.0,5-10 ans,8ème
tunis,Gammarth,1375020.827786953,191,3.0,1.0,Nouveau,
tunis,Gammarth,500000.0,158,3.0,1.0,Nouveau,
tunis,Ariana Ville,592600.0,80,1.0,1.0,1-5 ans,3ème
tunis,Ariana Ville,548191.9163785778,166,3.0,2.0,Nouveau,
tunis,Gammarth,393000.0,300,3.0,1.0,Nouveau,
tunis,Gammarth,486223.38571723615,160,3.0,2.0,5-10 ans,3ème
tunis,Ariana Ville,420000.0,126,2.0,2.0,Nouveau,
tunis,Les Berges Du Lac,582947.9907483662,158,3.0,1.0,Nouveau,
tunis,Ariana Ville,245000.0,119,3.0,2.0,Moins d'un an,
tunis,Les Berges Du Lac,380000.0,151,3.0,1.0,Nouveau,
tunis,Gammarth,660000.0,140,2.0,1.0,Nouveau,
tunis,Les Berges Du Lac,850000.0,126,3.0,1.0,Nouveau,
tunis,Cite El Khadra,413000.0,100,3.0,1.0,Bon état,
tunis,El Menzah 7,325000.0,114,2.0,2.0,Nouveau,
tunis,Les Berges Du Lac,205000.0,130,2.0,1.0,Bon état,
tunis,Les Berges Du Lac,785000.0,171,2.0,2.0,1-5 ans,
tunis,Ariana Ville,350000.0,85,1.0,1.0,Moins d'un an,
tunis,Ain Zaghouan,597312.507850268,101,4.0,1.0,Nouveau,
tunis,Le Bardo,410000.0,123,3.0,2.0,10-20 ans,2ème
tunis,Ain Zaghouan,238000.0,160,3.0,2.0,Bon état,
tunis,Ain Zaghouan,490000.0,135,2.0,2.0,Bon état,
tunis,Ain Zaghouan,860000.0,157,3.0,3.0,Moins d'un an,
tunis,Aouina,355000.0,129,1.0,1.0,Bon état,
tunis,Ain Zaghouan,679000.0,60,1.0,,Nouveau,
tunis,Ariana Ville,1100000.0,113,2.0,2.0,Bon état,
tunis,Les Berges Du Lac,1300000.0,195,3.0,2.0,5-10 ans,1er
tunis,Ariana Ville,594000.0,145,3.0,2.0,Moins d'un an,
tunis,Ariana Ville,455000.0,266,,,,
tunis,Ain Zaghouan,380000.0,218,,,,
tunis,Les Berges Du Lac,370000.0,202,,,,
tunis,Ariana Ville,295000.0,132,2.0,2.0,Nouveau,
tunis,Ain Zaghouan,239000.0,123,2.0,2.0,Nouveau,
tunis,Ariana Ville,399000.0,84,1.0,1.0,Bon état,
tunis,Aouina,210000.0,147,3.0,2.0,Bon état,
tunis,Aouina,450000.0,155,4.0,1.0,Bon état,
tunis,Aouina,380000.0,70,1.0,1.0,Moins d'un an,1er
tunis,Aouina,800000.0,157,3.0,2.0,Nouveau,
tunis,Aouina,745000.0,50,1.0,1.0,Nouveau,
tunis,Ariana Ville,175000.0,120,2.0,2.0,Moins d'un an,1er
tunis,Ariana Ville,310000.0,93,2.0,1.0,Bon état,1er
tunis,Ariana Ville,420000.0,224,,,,
tunis,Ain Zaghouan,530000.0,170,3.0,2.0,Nouveau,
tunis,Aouina,370000.0,50,1.0,1.0,1-5 ans,1er
tunis,Ain Zaghouan,420000.0,130,2.0,2.0,Bon état,
tunis,Ariana Ville,230000000.0,130,,,,
tunis,Ariana Ville,1800000.0,154,3.0,3.0,Bon état,
tunis,Ariana Ville,250000.0,50,1.0,1.0,1-5 ans,1er
tunis,Ariana Ville,800000.0,70,1.0,1.0,Moins d'un an,
tunis,Aouina,350000.0,117,3.0,2.0,Moins d'un an,
tunis,Ariana Ville,695000.0,300,3.0,3.0,Moins d'un an,
tunis,Ain Zaghouan,213117.25701818574,104,2.0,1.0,Bon état,
