delegation,superficie,chambres,salle_de_bains,etat,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
36.0,85,1,1,9,1,0.0,0.0,0.0,1.0,413000.0
35.0,101,4,1,10,1,0.0,0.0,0.0,1.0,325000.0
19.0,123,3,2,6,2,0.0,0.0,0.0,1.0,205000.0
35.0,160,3,2,11,1,0.0,0.0,0.0,1.0,785000.0
35.0,135,2,2,11,1,0.0,0.0,0.0,1.0,350000.0
26.0,129,1,1,11,1,0.0,0.0,0.0,1.0,410000.0
35.0,60,1,1,10,1,0.0,0.0,0.0,1.0,238000.0
36.0,113,2,2,11,1,0.0,0.0,0.0,1.0,490000.0
38.0,195,3,2,7,1,0.0,0.0,0.0,1.0,860000.0
36.0,266,2,1,9,1,0.0,0.0,0.0,1.0,679000.0
35.0,218,2,1,9,1,0.0,0.0,0.0,1.0,1100000.0
38.0,202,2,1,9,1,0.0,0.0,0.0,1.0,1300000.0
36.0,132,2,2,10,1,0.0,0.0,0.0,1.0,594000.0
35.0,123,2,2,10,1,0.0,0.0,0.0,1.0,455000.0
36.0,84,1,1,11,1,0.0,0.0,0.0,1.0,380000.0
26.0,147,3,2,11,1,0.0,0.0,0.0,1.0,370000.0
26.0,155,4,1,11,1,0.0,0.0,0.0,1.0,295000.0
26.0,70,1,1,9,1,0.0,0.0,0.0,1.0,239000.0
26.0,157,3,2,10,1,0.0,0.0,0.0,1.0,399000.0
26.0,50,1,1,10,1,0.0,0.0,0.0,1.0,210000.0
36.0,120,2,2,9,1,0.0,0.0,0.0,1.0,450000.0
36.0,93,2,1,11,1,0.0,0.0,0.0,1.0,380000.0
36.0,224,2,1,9,1,0.0,0.0,0.0,1.0,800000.0
35.0,170,3,2,10,1,0.0,0.0,0.0,1.0,745000.0
26.0,50,1,1,8,1,0.0,0.0,0.0,1.0,175000.0
35.0,130,2,2,11,1,0.0,0.0,0.0,1.0,310000.0
36.0,130,2,1,9,1,0.0,0.0,0.0,1.0,420000.0
36.0,154,3,3,11,1,0.0,0.0,0.0,1.0,530000.0
36.0,70,1,1,9,1,0.0,0.0,0.0,1.0,420000.0
36.0,300,3,3,9,1,0.0,0.0,0.0,1.0,1800000.0
35.0,104,2,1,11,1,0.0,0.0,0.0,1.0,250000.0
37.0,118,1,1,10,1,0.0,0.0,0.0,1.0,800000.0
36.0,140,2,1,9,1,0.0,0.0,0.0,1.0,350000.0
36.0,149,3,3,8,1,0.0,0.0,0.0,1.0,695000.0
36.0,153,2,3,9,2,0.0,0.0,0.0,1.0,1025000.0
36.0,137,2,2,9,2,0.0,0.0,0.0,1.0,724000.0
37.0,63,1,1,10,1,0.0,0.0,0.0,1.0,350000.0
36.0,150,2,1,9,1,0.0,0.0,0.0,1.0,850000.0
37.0,130,2,1,9,1,0.0,0.0,0.0,1.0,375000.0
36.0,225,3,3,8,1,0.0,0.0,0.0,1.0,1237000.0
36.0,74,1,1,9,1,0.0,0.0,0.0,1.0,375000.0
19.0,74,2,1,9,1,0.0,0.0,0.0,1.0,170000.0
37.0,150,2,1,11,1,0.0,0.0,0.0,1.0,2500000.0
37.0,95,2,1,10,1,0.0,0.0,0.0,1.0,550000.0
37.0,165,3,2,8,2,0.0,0.0,0.0,1.0,465000.0
35.0,140,2,2,10,1,0.0,0.0,0.0,1.0,650000.0
30.0,114,2,1,9,1,0.0,0.0,0.0,1.0,440000.0
35.0,100,2,2,9,1,0.0,0.0,0.0,1.0,320000.0
36.0,65,2,1,9,1,0.0,0.0,0.0,1.0,210000.0
19.0,116,2,1,9,1,0.0,0.0,0.0,1.0,195000.0
37.0,175,3,2,9,2,0.0,0.0,0.0,1.0,490000.0
35.0,132,2,1,10,1,0.0,0.0,0.0,1.0,450000.0
36.0,220,3,2,9,5,0.0,0.0,0.0,1.0,850000.0
26.0,64,2,1,11,1,0.0,0.0,0.0,1.0,260000.0
38.0,170,3,1,11,1,0.0,0.0,0.0,1.0,600000.0
36.0,200,2,1,11,1,0.0,0.0,0.0,1.0,380000.0
36.0,163,4,3,9,1,0.0,0.0,0.0,1.0,875000.0
36.0,102,2,2,10,1,0.0,0.0,0.0,1.0,472590.0
31.0,86,2,2,8,1,0.0,0.0,0.0,1.0,230000.0
31.0,90,2,1,9,1,0.0,0.0,0.0,1.0,210000.0
36.0,212,2,1,9,1,0.0,0.0,0.0,1.0,1000000.0
29.0,137,2,2,9,1,0.0,0.0,0.0,1.0,550000.0
